Name of Parameter,Value
Pn,1100.0
Un,380.0
Winding Connection,Delta
f,50.0
eta,0.8593062935351755
cos_phi,0.83
p,1.0
,
Sn,1677.5964617965535
I_1n,2.5488441284468526
P_em,1635.6565502516396
ke,0.975
n1,3000.0
D,7.1
tau_p,11.152653920243765
B_delta,0.5225
A,166.25
q,5.0
Z_stator,30
Xi1,12.0
y/tau_p,1
ky,1.0
k_w1,0.9566772233505624
l_delta,111.75518045150491
delta,0.3254166666666667
Phi_delta,0.0041678507509813655
W1,415.0
N_k1,83.6
g1,6.2
S_Cu1,0.23735094252922376
d,0.5497313944176471
S1,0.23735094252922376
k_Cu,0.35
Sk,56.28608065693021
n_k1,83
S_Cuk,19.70012822992557
t1,7.435102613495843
k_Fe,0.9
B_z1,1.3
b_z1,3.344379747298032
a1,3.0
h5,2.0
h6,1.0
b_k11,4.719041396915771
b_k21,10.113763797265255
h_z1,28.528692954456485
h1,25.528692954456485
D_k1,128.05738590891298
B_v1,1.0
h_v1,20.719152616275082
D_11,169.49569114146314
,
Z_rotor,22
D2,70.34916666666666
t2,10.045837508461998
k_i2,0.8823409448818897
I2,140.5921860756359
Xi2,16.363636363636363
Ip,493.94774213795876
g2,6.456505972130698
S_Cu2,21.77527391479193
gp,5.165204777704559
Sp,95.6298469075357
a2,2.6
h_12,20.0
h_42,0.4
b_k2,1.1716015506302992
h_z2,18.971601550630297
Sk,56.28608065693021
b_z2_max,8.963971046562019
b_z2_min,3.54569431398994
b_z2_avg,6.25483268027598
hp,19.920181628161814
bp,4.800651354119213
B_v2,1.0
h_v2,20.868929623139717
D22,9.534052159563318
,
H_v1,106.201406
l_v1,233.69764022862483
F_v1,14.61711399127848
H_z1,234.83350700000005
l_z1,28.528692954456485
F_z1,13.398986033242418
k_delta_1,1.354291103595332
k_delta_2,1.18933138748474
k_delta,1.610700917297276
H_delta,415792.28882757656
F_delta,439.0250587310302
H_z2_max,4243.962057647588
H_z2_min,63.27688055747389
H_z2_avg,145.87765429942556
F_z2,5.154741769390196
l_v2,15.201490891351519
H_v2,106.201406
F_v2,0.8898035651356596
Fv,473.0857040900769
I0_mif,0.44132906418948326
I0_mi[%],29.933828556193923
l_avg,26.558702749443007
L1,220.43723282037695
r1_15,16.293678183163475
r1_75,20.20416094712271
Dp,50.42898503850485
r2_15,0.000324833036780285
r2_75,0.0004027929656075534
k,85977.66125959042
r2_75_prime,34.63119715475208
lambda_k1,1.7712901765520535
lambda_cv1,1.2542887475498061
lambda_d1,0.8538740413179253
x1,12.81121659816967
lambda_k2,8.037035856500763
lambda_k2,8.037035856500763
lambda_cv2,0.7348722134173096
x2,0.0004027793513962392
x2_prime,34.630026636703384
xm,849.8468337525243
rm,79.01624498084348
